t [s]    U [V]
0.011    6.247
0.076    2.996
0.150    8.632
0.206    4.801
0.272    7.567
0.316    8.906
0.398    2.772
0.443    8.071
0.506    7.691
0.550    9.321
0.624    1.288
0.670    1.442
0.745    9.539
0.811    4.213
0.858    7.572
0.934    7.267
0.997    0.516
1.075    3.632
1.138    3.462
1.189    4.868
1.251    5.665
1.319    2.618
1.379    6.942
1.437    9.543
1.499    0.767
1.570    1.733
1.621    6.827
1.673    2.870
1.737    9.685
1.788    4.412
1.839    7.738
1.917    6.719
1.989    5.307
2.060    9.802
2.130    9.260
2.190    5.230
2.252    8.864
2.301    6.822
2.358    9.017
2.406    8.726
2.466    2.738
2.519    4.480
2.567    5.268
2.621    1.285
2.683    9.010
2.745    1.667
2.795    1.576
2.859    0.932
2.920    0.246
2.980    4.029
3.038    3.184
3.092    5.913
3.157    4.246
3.208    6.630
3.253    2.583
3.309    6.902
3.370    1.287
3.421    8.428
3.472    8.863
3.531    7.160
3.585    4.207
3.652    5.319
3.702    1.210
3.762    5.250
3.819    9.652
3.880    3.290
3.936    2.251
3.999    1.547
4.057    5.042
4.117    2.372
4.177    8.902
4.242    9.568
4.299    0.876
4.349    8.067
4.413    3.305
4.479    7.211
4.535    9.289
4.586    3.263
4.644    1.905
4.707    2.084
4.768    9.089
4.833    8.756
4.896    0.399
4.960    2.467
5.017    2.914
5.085    7.812
5.140    0.759
5.194    8.340
5.249    1.819
5.306    9.063
5.357    6.950
5.418    8.161
5.471    9.013
5.536    2.748
5.597    4.524
5.658    9.529
5.713    5.297
5.770    8.328
5.830    1.356
5.880    1.657
5.949    3.416
5.998    1.498
